RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;;Viajero;2025M03;7.680.722
Total;;Viajero;2025M02;6.539.960
Total;;Viajero;2025M01;5.776.075
Total;;Viajero;2024M12;6.553.489
Total;;Viajero;2024M11;7.171.221
Total;;Viajero;2024M10;10.774.309
Total;;Viajero;2024M09;11.821.379
Total;;Viajero;2024M08;13.586.095
Total;;Viajero;2024M07;12.703.213
Total;;Viajero;2024M06;11.905.082
Total;;Viajero;2024M05;11.776.729
Total;;Viajero;2024M04;9.394.506
Total;;Viajero;2024M03;8.433.226
Total;;Viajero;2024M02;6.512.168
Total;;Viajero;2024M01;5.660.859
Total;;Viajero;2023M12;6.586.138
Total;;Viajero;2023M11;6.798.815
Total;;Viajero;2023M10;10.390.441
Total;;Viajero;2023M09;11.627.872
Total;;Viajero;2023M08;13.266.497
Total;;Viajero;2023M07;12.680.483
Total;;Viajero;2023M06;11.535.550
Total;;Viajero;2023M05;10.580.202
Total;;Viajero;2023M04;9.829.384
Total;;Viajero;2023M03;7.361.364
Total;;Viajero;2023M02;5.967.064
Total;;Viajero;2023M01;5.367.962
Total;;Viajero;2022M12;6.054.556
Total;;Viajero;2022M11;6.284.698
Total;;Viajero;2022M10;9.743.259
Total;;Viajero;2022M09;11.050.305
Total;;Viajero;2022M08;12.889.916
Total;;Viajero;2022M07;12.292.936
Total;;Viajero;2022M06;10.990.468
Total;;Viajero;2022M05;9.920.671
Total;;Viajero;2022M04;8.689.822
Total;;Viajero;2022M03;6.061.398
Total;;Pernoctaciones;2025M03;22.344.694
Total;;Pernoctaciones;2025M02;18.412.444
Total;;Pernoctaciones;2025M01;16.910.798
Total;;Pernoctaciones;2024M12;18.033.188
Total;;Pernoctaciones;2024M11;20.055.197
Total;;Pernoctaciones;2024M10;33.942.709
Total;;Pernoctaciones;2024M09;39.040.928
Total;;Pernoctaciones;2024M08;47.895.779
Total;;Pernoctaciones;2024M07;44.038.012
Total;;Pernoctaciones;2024M06;38.226.012
Total;;Pernoctaciones;2024M05;35.744.250
Total;;Pernoctaciones;2024M04;27.142.842
Total;;Pernoctaciones;2024M03;24.520.234
Total;;Pernoctaciones;2024M02;18.581.766
Total;;Pernoctaciones;2024M01;16.491.597
Total;;Pernoctaciones;2023M12;17.913.857
Total;;Pernoctaciones;2023M11;19.023.828
Total;;Pernoctaciones;2023M10;32.415.687
Total;;Pernoctaciones;2023M09;37.980.229
Total;;Pernoctaciones;2023M08;46.695.607
Total;;Pernoctaciones;2023M07;43.109.417
Total;;Pernoctaciones;2023M06;36.255.025
Total;;Pernoctaciones;2023M05;32.187.667
Total;;Pernoctaciones;2023M04;28.046.754
Total;;Pernoctaciones;2023M03;20.597.741
Total;;Pernoctaciones;2023M02;16.816.547
Total;;Pernoctaciones;2023M01;15.472.477
Total;;Pernoctaciones;2022M12;16.627.833
Total;;Pernoctaciones;2022M11;17.661.676
Total;;Pernoctaciones;2022M10;29.865.924
Total;;Pernoctaciones;2022M09;35.999.861
Total;;Pernoctaciones;2022M08;46.140.100
Total;;Pernoctaciones;2022M07;42.121.775
Total;;Pernoctaciones;2022M06;35.111.326
Total;;Pernoctaciones;2022M05;29.785.395
Total;;Pernoctaciones;2022M04;25.197.638
Total;;Pernoctaciones;2022M03;17.632.648
Total;Residentes en España;Viajero;2025M03;3.780.529
Total;Residentes en España;Viajero;2025M02;3.419.893
Total;Residentes en España;Viajero;2025M01;2.919.287
Total;Residentes en España;Viajero;2024M12;3.649.144
Total;Residentes en España;Viajero;2024M11;3.764.839
Total;Residentes en España;Viajero;2024M10;4.524.933
Total;Residentes en España;Viajero;2024M09;5.009.311
Total;Residentes en España;Viajero;2024M08;6.356.384
Total;Residentes en España;Viajero;2024M07;5.748.404
Total;Residentes en España;Viajero;2024M06;5.399.073
Total;Residentes en España;Viajero;2024M05;4.926.356
Total;Residentes en España;Viajero;2024M04;4.190.383
Total;Residentes en España;Viajero;2024M03;4.412.670
Total;Residentes en España;Viajero;2024M02;3.422.317
Total;Residentes en España;Viajero;2024M01;2.919.329
Total;Residentes en España;Viajero;2023M12;3.736.128
Total;Residentes en España;Viajero;2023M11;3.586.759
Total;Residentes en España;Viajero;2023M10;4.589.155
Total;Residentes en España;Viajero;2023M09;5.122.862
Total;Residentes en España;Viajero;2023M08;6.381.789
Total;Residentes en España;Viajero;2023M07;6.012.479
Total;Residentes en España;Viajero;2023M06;5.455.490
Total;Residentes en España;Viajero;2023M05;4.553.381
Total;Residentes en España;Viajero;2023M04;4.983.861
Total;Residentes en España;Viajero;2023M03;3.983.218
Total;Residentes en España;Viajero;2023M02;3.337.995
Total;Residentes en España;Viajero;2023M01;2.964.949
Total;Residentes en España;Viajero;2022M12;3.567.132
Total;Residentes en España;Viajero;2022M11;3.541.109
Total;Residentes en España;Viajero;2022M10;4.657.750
Total;Residentes en España;Viajero;2022M09;5.178.258
Total;Residentes en España;Viajero;2022M08;6.526.507
Total;Residentes en España;Viajero;2022M07;6.075.062
Total;Residentes en España;Viajero;2022M06;5.422.886
Total;Residentes en España;Viajero;2022M05;4.672.236
Total;Residentes en España;Viajero;2022M04;4.733.976
Total;Residentes en España;Viajero;2022M03;3.432.900
