Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2025M03;106.917
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2025M02;55.690
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2025M01;28.073
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2024M12;43.134
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2024M11;42.317
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2024M10;164.762
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2024M09;177.476
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2024M08;232.557
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2024M07;219.909
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2024M06;229.477
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2024M05;179.010
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2024M04;111.974
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2024M03;104.550
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2024M02;57.019
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2024M01;30.560
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2023M12;34.963
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2023M11;40.472
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2023M10;148.089
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2023M09;176.703
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2023M08;239.946
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2023M07;237.710
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2023M06;244.635
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2023M05;195.761
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2023M04;109.541
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2023M03;62.568
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2023M02;51.577
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2023M01;35.443
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2022M12;35.980
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2022M11;44.337
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2022M10;167.105
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2022M09;187.516
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2022M08;284.123
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2022M07;242.215
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2022M06;238.985
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2022M05;174.365
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2022M04;111.992
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2022M03;60.834
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2022M02;42.557
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Viajero;2022M01;20.603
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2025M03;388.334
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2025M02;152.788
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2025M01;70.299
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M12;82.672
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M11;93.071
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M10;525.129
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M09;648.603
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M08;979.934
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M07;836.381
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M06;773.158
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M05;509.246
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M04;357.474
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M03;304.250
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M02;170.008
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2024M01;61.386
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M12;72.231
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M11;82.054
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M10;442.356
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M09;652.248
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M08;1.043.279
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M07;974.544
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M06;889.859
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M05;644.969
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M04;297.000
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M03;173.879
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M02;140.170
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M01;85.942
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2022M12;80.586
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2022M11;97.922
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2022M10;419.017
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2022M09;687.086
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2022M08;1.192.546
