Provincias,Residencia,Periodo,total_overnight_stays,total_travelers,avg_stay
Balears,Andalucía,2022-01-01,5.49,5.15,1.066019417475728
Balears,Andalucía,2022-02-01,12.32,9.89,1.2457027300303336
Balears,Andalucía,2022-03-01,12.11,9.65,1.254922279792746
Balears,Andalucía,2022-04-01,7.63,6.17,1.2366288492706645
Balears,Andalucía,2022-05-01,7.91,7.06,1.1203966005665724
Balears,Andalucía,2022-06-01,12.11,8.67,1.3967704728950403
Balears,Andalucía,2022-07-01,13.09,11.56,1.1323529411764706
Balears,Andalucía,2022-08-01,10.33,10.2,1.0127450980392159
Balears,Andalucía,2022-09-01,10.29,9.26,1.111231101511879
Balears,Andalucía,2022-10-01,8.45,6.97,1.2123385939741749
Balears,Andalucía,2022-11-01,7.12,6.36,1.119496855345912
Balears,Andalucía,2022-12-01,5.8,5.48,1.0583941605839415
Balears,Andalucía,2023-01-01,4.9,4.73,1.0359408033826638
Balears,Andalucía,2023-02-01,9.54,7.24,1.3176795580110496
Balears,Andalucía,2023-03-01,6.03,5.39,1.1187384044526902
Balears,Andalucía,2023-04-01,12.66,10.93,1.1582799634034766
Balears,Andalucía,2023-05-01,6.04,6.39,0.9452269170579031
Balears,Andalucía,2023-06-01,9.87,10.19,0.9685966633954858
Balears,Andalucía,2023-07-01,8.99,9.82,0.9154786150712831
Balears,Andalucía,2023-08-01,8.26,8.5,0.9717647058823529
Balears,Andalucía,2023-09-01,7.89,8.51,0.927144535840188
Balears,Andalucía,2023-10-01,5.4,6.34,0.8517350157728707
Balears,Andalucía,2023-11-01,5.98,5.7,1.049122807017544
Balears,Andalucía,2023-12-01,4.7,4.23,1.111111111111111
Balears,Andalucía,2024-01-01,6.61,6.33,1.0442338072669826
Balears,Andalucía,2024-02-01,11.39,8.38,1.3591885441527445
Balears,Andalucía,2024-03-01,29.0,16.23,1.786814540973506
Balears,Andalucía,2024-04-01,7.93,8.01,0.9900124843945068
Balears,Andalucía,2024-05-01,7.06,6.78,1.0412979351032448
Balears,Andalucía,2024-06-01,7.74,8.84,0.8755656108597285
Balears,Andalucía,2024-07-01,8.24,7.84,1.0510204081632653
Balears,Andalucía,2024-08-01,8.47,9.03,0.9379844961240311
Balears,Andalucía,2024-09-01,8.2,8.26,0.9927360774818401
Balears,Andalucía,2024-10-01,4.66,5.47,0.8519195612431445
Balears,Andalucía,2024-11-01,4.39,4.54,0.9669603524229075
Balears,Andalucía,2024-12-01,4.37,4.46,0.9798206278026906
Balears,Andalucía,2025-01-01,6.58,8.15,0.807361963190184
Balears,Andalucía,2025-02-01,7.31,5.58,1.3100358422939067
Balears,Andalucía,2025-03-01,6.36,6.17,1.0307941653160455
Balears,Aragón,2022-01-01,0.62,0.74,0.8378378378378378
Balears,Aragón,2022-02-01,0.61,1.16,0.5258620689655172
Balears,Aragón,2022-03-01,2.34,1.18,1.9830508474576272
Balears,Aragón,2022-04-01,0.4,0.46,0.8695652173913043
Balears,Aragón,2022-05-01,1.64,1.57,1.0445859872611465
Balears,Aragón,2022-06-01,1.86,1.59,1.169811320754717
Balears,Aragón,2022-07-01,1.74,1.71,1.0175438596491229
Balears,Aragón,2022-08-01,1.14,1.01,1.1287128712871286
Balears,Aragón,2022-09-01,1.46,1.28,1.140625
Balears,Aragón,2022-10-01,1.19,1.22,0.9754098360655737
Balears,Aragón,2022-11-01,1.0,1.27,0.7874015748031495
Balears,Aragón,2022-12-01,0.51,0.48,1.0625
Balears,Aragón,2023-01-01,0.46,0.41,1.1219512195121952
Balears,Aragón,2023-02-01,0.6,0.71,0.8450704225352113
Balears,Aragón,2023-03-01,0.65,0.64,1.015625
Balears,Aragón,2023-04-01,1.89,0.89,2.1235955056179776
Balears,Aragón,2023-05-01,2.52,1.63,1.5460122699386505
Balears,Aragón,2023-06-01,1.99,1.67,1.1916167664670658
Balears,Aragón,2023-07-01,1.47,1.3,1.1307692307692307
Balears,Aragón,2023-08-01,1.44,1.35,1.0666666666666667
Balears,Aragón,2023-09-01,1.5,1.39,1.0791366906474822
Balears,Aragón,2023-10-01,0.91,1.0,0.91
Balears,Aragón,2023-11-01,0.72,0.58,1.2413793103448276
Balears,Aragón,2023-12-01,0.59,0.6,0.9833333333333333
Balears,Aragón,2024-01-01,0.76,0.7,1.0857142857142859
Balears,Aragón,2024-02-01,2.65,2.52,1.0515873015873016
Balears,Aragón,2024-03-01,1.13,0.82,1.3780487804878048
Balears,Aragón,2024-04-01,1.24,1.39,0.8920863309352518
Balears,Aragón,2024-05-01,1.13,1.21,0.933884297520661
Balears,Aragón,2024-06-01,1.03,1.01,1.0198019801980198
Balears,Aragón,2024-07-01,1.32,1.22,1.0819672131147542
Balears,Aragón,2024-08-01,1.93,1.77,1.0903954802259888
Balears,Aragón,2024-09-01,1.18,0.99,1.1919191919191918
Balears,Aragón,2024-10-01,1.47,1.33,1.1052631578947367
Balears,Aragón,2024-11-01,0.77,0.69,1.1159420289855073
Balears,Aragón,2024-12-01,0.68,0.55,1.2363636363636363
Balears,Aragón,2025-01-01,1.02,0.93,1.096774193548387
Balears,Aragón,2025-02-01,0.84,0.63,1.3333333333333333
Balears,Aragón,2025-03-01,0.91,1.05,0.8666666666666667
Balears,Asturias,2022-01-01,0.35,0.48,0.7291666666666666
Balears,Asturias,2022-02-01,1.67,0.39,4.282051282051282
Balears,Asturias,2022-03-01,1.91,0.9,2.1222222222222222
Balears,Asturias,2022-04-01,1.11,0.72,1.541666666666667
Balears,Asturias,2022-05-01,2.34,1.49,1.570469798657718
Balears,Asturias,2022-06-01,1.75,1.68,1.0416666666666667
Balears,Asturias,2022-07-01,2.59,2.16,1.199074074074074
Balears,Asturias,2022-08-01,1.78,1.39,1.2805755395683454
Balears,Asturias,2022-09-01,2.55,1.99,1.2814070351758793
Balears,Asturias,2022-10-01,1.0,0.85,1.1764705882352942
Balears,Asturias,2022-11-01,1.65,0.84,1.9642857142857142
