Provincias,Residencia,Periodo,total_overnight_stays,total_travelers,avg_stay
Balears,Residentes en España,2022-01-01,44476,20603,2.1587147502790858
Balears,Residentes en España,2022-02-01,107070,42557,2.5159198251756467
Balears,Residentes en España,2022-03-01,177559,60834,2.9187460959331952
Balears,Residentes en España,2022-04-01,336559,111992,3.0052057289806413
Balears,Residentes en España,2022-05-01,525630,174365,3.01453846815588
Balears,Residentes en España,2022-06-01,826105,238985,3.4567232253070275
Balears,Residentes en España,2022-07-01,936133,242215,3.864884503437029
Balears,Residentes en España,2022-08-01,1192546,284123,4.197287794370748
Balears,Residentes en España,2022-09-01,687086,187516,3.6641459928752744
Balears,Residentes en España,2022-10-01,419017,167105,2.5075072559169382
Balears,Residentes en España,2022-11-01,97922,44337,2.20858425243025
Balears,Residentes en España,2022-12-01,80586,35980,2.239744302390217
Balears,Residentes en España,2023-01-01,85942,35443,2.424794740851508
Balears,Residentes en España,2023-02-01,140170,51577,2.717684239098823
Balears,Residentes en España,2023-03-01,173879,62568,2.779040404040404
Balears,Residentes en España,2023-04-01,297000,109541,2.7113135720871635
Balears,Residentes en España,2023-05-01,644969,195761,3.2946756504104493
Balears,Residentes en España,2023-06-01,889859,244635,3.637496678725448
Balears,Residentes en España,2023-07-01,974544,237710,4.099718143956922
Balears,Residentes en España,2023-08-01,1043279,239946,4.347974127512024
Balears,Residentes en España,2023-09-01,652248,176703,3.6912106755403133
Balears,Residentes en España,2023-10-01,442356,148089,2.9870955979174685
Balears,Residentes en España,2023-11-01,82054,40472,2.0274263688475984
Balears,Residentes en España,2023-12-01,72231,34963,2.06592683694191
Balears,Residentes en España,2024-01-01,61386,30560,2.0087041884816754
Balears,Residentes en España,2024-02-01,170008,57019,2.9816026236868414
Balears,Residentes en España,2024-03-01,304250,104550,2.9100908656145386
Balears,Residentes en España,2024-04-01,357474,111974,3.192473252719381
Balears,Residentes en España,2024-05-01,509246,179010,2.8447907938104016
Balears,Residentes en España,2024-06-01,773158,229477,3.3692178301093354
Balears,Residentes en España,2024-07-01,836381,219909,3.803305003433238
