Países,Periodo,total_overnight_stays,total_travelers,avg_stay,countries
Alemania,2022-03-01,1971226,358345,5.500916714339533,Germany
Alemania,2022-04-01,2858295,565194,5.057192751515409,Germany
Alemania,2022-05-01,3668543,760733,4.822379205319081,Germany
Alemania,2022-06-01,4688446,862263,5.437373515969026,Germany
Alemania,2022-07-01,4502389,776051,5.801666385327769,Germany
Alemania,2022-08-01,4665352,801550,5.82041294990955,Germany
Alemania,2022-09-01,4793552,880931,5.441461363035243,Germany
Alemania,2022-10-01,3976465,716360,5.550931096096934,Germany
Alemania,2022-11-01,1778704,290820,6.11616807647342,Germany
Alemania,2022-12-01,1461766,236239,6.187657414736771,Germany
Alemania,2023-01-01,1527076,237872,6.419738346673841,Germany
Alemania,2023-02-01,1653987,278415,5.940725176445235,Germany
Alemania,2023-03-01,2266807,424265,5.342903609772194,Germany
Alemania,2023-04-01,3143902,640754,4.906566326546537,Germany
Alemania,2023-05-01,4113960,837369,4.912959519638296,Germany
Alemania,2023-06-01,4451013,858136,5.1868386829127315,Germany
Alemania,2023-07-01,4461214,804595,5.5446702999645785,Germany
Alemania,2023-08-01,4553050,822266,5.537198424840623,Germany
Alemania,2023-09-01,5054810,935137,5.405421879360992,Germany
Alemania,2023-10-01,4543616,800108,5.67875336829528,Germany
Alemania,2023-11-01,2004674,334775,5.9881233664401465,Germany
Alemania,2023-12-01,1634262,265222,6.161864400389108,Germany
Alemania,2024-01-01,1619813,253218,6.396910962095902,Germany
Alemania,2024-02-01,1877629,321751,5.835658630431607,Germany
Alemania,2024-03-01,2988329,544724,5.485950683281809,Germany
Alemania,2024-04-01,3249095,653273,4.973563885236341,Germany
Alemania,2024-05-01,4772876,962452,4.9590795177317935,Germany
Alemania,2024-06-01,4659133,865770,5.381490465135082,Germany
Alemania,2024-07-01,4668502,837413,5.574909871234385,Germany
Alemania,2024-08-01,4867231,856510,5.682631843177546,Germany
Alemania,2024-09-01,5083324,924225,5.500093591928373,Germany
Alemania,2024-10-01,5020351,902629,5.561920789161438,Germany
Alemania,2024-11-01,2060672,345217,5.969207773661204,Germany
Alemania,2024-12-01,1768858,284577,6.2157447720652055,Germany
Alemania,2025-01-01,1712784,264541,6.474550258750061,Germany
Alemania,2025-02-01,1830738,329212,5.560969830990365,Germany
Alemania,2025-03-01,2589544,477688,5.420994456632781,Germany
América (sin EEUU),2022-03-01,489641,192296,2.54628801431127,America (excl. USA)
