apartment_id,name,description,host_id,neighbourhood_name,neighbourhood_district,room_type,accommodates,bathrooms,bedrooms,beds,amenities_list,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review_date,last_review_date,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_instant_bookable,reviews_per_month,country,city,insert_date
2368293,MAISON AU CALME AVEC PISCINE,"Photos et description de la location a EMPURIABRAVA  Maison 2 chambres, 6 couchages tr�s  calme, avec tout le confort piscine, barbecue,mobilier de jardin. Logement de 65m� tr�s agr�able ........ Salon, salle � manger,cuisine, chambres,piscine,terrasse ensoleill�e ,barbecue . Piscine,barbecue. Nous habitons � ROSAS et nous sommes � votre disposition pour vous indiqu� . Les bons restaurants,les sites � visiter............... A proximit� de tous commerces supermarch� ......Nous aimons tous d'abord la temp�rature. Les plages,les mus�es,les golf,les restaurants,les balades � v�lo � pied, le tennis,saut en parachute............ On acc�de � la maison par le TGV FIGUERES l'a�roport Gerone puis taxi.",12100602,Castell� d'Emp�ries,,Entire home/apt,6,1.0,2.0,3.0,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace,High chair,Pack �n Play/travel crib,Hot water,Host greets you",1270.0,2,30,VERDADERO,0,0,0,0,2,2017-04-12,2017-05-01,,,,,,,,FALSO,9.0,spain,girona,2019-02-19
3073348,"APARTAMENTOS AQUARIUM. 25 M2 TERRAZA, BARBACOA","Apartamento con 1 habitaci�n doble, comedor con sof� convertible en cama doble, cocina americana equipada (vitro, micro, vajilla, lavadora...), ba�o y terraza de 30 m2. 4 PERSONAS MAXIMO. Totalmente reformado Situado en una calle tranquila, al lado del centro y de la playa. El dia de llegada hago entrega de las llaves, explicando un poco tanto el propio apartamento como recomendaciones de la zona. Disponible al mobil las 24h. La principal atracci�n de Santa Margarida es la playa; una playa de arena fina que llega hasta el pueblo. Es perfectamente adecuada para ni�os ya que no cubre hasta haber andado varios metros. El apartamento est� situado en una calle tranquila aunque al lado de la playa y del centro.  Servicios como farmacia, alquiler de bicis, escuela de buceo, bares, restaurantes, minigolf.....est�n a muy pocos metros. Santa Margarita, en verano, dispone cada media hora de un servicio de bus hacia Roses. Tambi�n se puede ir andando por el paseo mar�timo que une Santa Margarita c",14040896,Roses,,Entire home/apt,4,1.0,1.0,4.0,"TV,Kitchen,Smoking allowed,Pets allowed,Free street parking,Family/kid friendly,Washer,Fire extinguisher,Essentials,Hangers,Pack �n Play/travel crib,Hot water,Bed linens,Host greets you",520.0,3,30,VERDADERO,26,48,78,325,1,2014-07-15,2014-07-15,200.0,,100.0,20.0,80.0,,40.0,FALSO,2.0,spain,girona,2018-11-26
4847335,"Chalet independiente, muy tranquilo","Ideal acceso a playas, naturaleza en zona, senderismo, bicicleta. Cala Figuera �Santanyi- cerca del Parque Natural de Mondrag� (al sur-este de Mallorca). Payas pr�ximas: Naturales S�Amarador, Cap des Moro, Cala Almunia, Es trenc. Otras, Cala Santany� Comodidad, tranquilidad, desconexi�n, un espacio familiar, sin ruidos,  Pueden alojarse de 8 a 10 personas adultas. 3 habitaciones dobles en  planta superior (una cama doble y las otras dos con 2 camas individuales cada uno). Otro dormitorio en planta principal,  con cama doble. 3 ba�os completos, cocina, sal�n comedor en planta principal y amplio comedor en planta baja mismo nivel que barbacoa.  Terrazas, jard�n y piscina (8x4mts) Jard�n, piscina, tumbonas, barbacoa, ducha en piscina, tv, lavadora, s�banas y toallas. Cocina totalmente equipada. No hay problemas de parking Ambiente familiar, en contacto con los hu�spedes por cualquier necesidad que pueda surgir. La vivienda es independiente, sin apenas circulaci�n de veh�culos, pocos vecin",24830684,Santany�,,Entire home/apt,8,3.0,4.0,6.0,"TV,Pool,Kitchen,Smoking allowed,Pets allowed,Heating,Family/kid friendly,Suitable for events,Washer,Essentials,Hangers,Iron,Laptop friendly workspace",1900.0,3,1125,VERDADERO,0,0,0,0,2,2015-04-28,2015-04-28,,,,,,,,FALSO,5.0,spain,mallorca,2018-07-29
5486531,"Villa: TEOLUNA, Begur, Costa Brava","Beautiful house located in the urbanization residencial Begur�. 3 km from the center of Begur. Supermarket, bars, restaurants 3 km.  Beaches 5-7 km.. Rental holidays house for a maximum of 12 people. Detached house situated in the urbanization Residencial Begur-Begur-Costa Brava. Lovely garden with nice swimming pool, irregular form (type caribean beach). House distributed in 2 floors.  Main floor:  Living-dining room with Tv ( only french) and porch. Americain kitchen equipped with oven, dishwasher, glass ceramic job, fridge, microwave. 4 doubles bedrooms ( 3 with double bed, 1 with bunk bed.. 1 bathroom with wc. 2 shower room with wc. �lower floor:  1 bedroom with 1 double bed + 1 bunked bed. 1 shower room with wc �garden with grass. �swimming pool 10x5 �garage. �outdoor kitchen. �outdoor shower. �porch with terrace furniture. �BBQ of gas �washing machine. registrada con el n�: HUTG 000347 the Residencial Begur urbanization begins near the village extending between large tracts of",26281633,Begur,,Entire home/apt,12,4.0,5.0,6.0,"TV,Pool,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron,Room-darkening shades,Hot water,Host greets you",2530.0,7,1125,VERDADERO,29,29,29,29,1,2017-07-22,2017-07-22,800.0,,60.0,,,,,VERDADERO,7.0,spain,girona,2018-09-28
5542982,Estudio Avenida de America Madrid,"Estudio con capacidad 3 personas ,2 camas dobles,cocina  equipada,ba�o privado,calefacion.",8177214,Guindalera,Salamanca,Entire home/apt,2,1.0,0.0,2.0,"TV,Internet,Wifi,Wheelchair accessible,Kitchen,Smoking allowed,Doorman,Elevator,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Shampoo",350.0,15,350,VERDADERO,24,48,78,353,1,2019-01-21,2019-01-21,,,,,,,,VERDADERO,37.0,spain,madrid,2019-04-11
6257970,�tico con terraza privada,"fant�stico �tico con terraza soleada en el centro de barcelona, bien comunicado..",32262478,l'Antiga Esquerra de l'Eixample,Eixample,Private room,2,1.0,1.0,1.0,"Essentials, Wifi, Kitchen, Elevator, TV, First aid kit, Washer]",700.0,1,1125,VERDADERO,0,0,0,0,1,2015-05-15,2015-05-15,,,,,,,,VERDADERO,1.0,spain,barcelona,2020-11-06
6257970,�tico con terraza privada,"fant�stico �tico con terraza soleada en el centro de barcelona, bien comunicado..",32262478,l'Antiga Esquerra de l'Eixample,Eixample,Private room,2,1.0,1.0,1.0,"TV,Internet,Wifi,Wheelchair accessible,Kitchen,Doorman,Elevator,Buzzer/wireless intercom,Washer,First aid kit,Essentials",700.0,1,1125,VERDADERO,0,0,0,0,1,2015-05-15,2015-05-15,,,,,,,,VERDADERO,2.0,spain,barcelona,2020-01-10
6669701,Luminosa habitaci�n en el centro,"Si deseas hospedarte en La Latina, una de las zonas c�ntricas m�s atractivas de Madrid, por su historia, su amplia variedad de bares y centros culturales, como tambi�n disfrutar de ir caminando a todos los sitios emblem�ticos, ��ste es tu lugar! La habitaci�n, amplia y muy luminosa,  se ubica en un apartamento en el que habitan tres j�venes profesionales de Espa�a, muy alegres, educados y preocupados de respetar el espacio de cada uno de los que comparten el hogar. El apartamento cuenta con un ba�o para compartir entre tres personas, incluyendo al h�sped, con ducha y ba�era. Se puede ocupar libremente el sal�n, el cual comprende un televisor y un  balc�n que da a la calle Toledo,  al igual que la cocina. Al encontrarme fuera de la ciudad durante los d�as que alquilo mi habitaci�n no podr� ser anfitriona, rol que me encantar�a ocupar, sin embargo, al ser Madrid una ciudad muy acogedora y con un excelente transporte nunca te sentir�s realmente como un extranjero. El barrio de la Latina e",29561497,Palacio,Centro,Private room,1,1.0,1.0,1.0,"TV,Wifi,Kitchen,Smoking allowed,Elevator,Buzzer/wireless intercom,Heating,Washer",170.0,2,31,VERDADERO,0,0,0,0,1,2015-06-09,2015-06-09,,,,,,,,FALSO,2.0,spain,madrid,2018-11-07
7019190,Unique Lovely Villa Farmhouse With Private Pool,"Wonderful characterful sympathetically renovated detached 250 year old farmhouse with tourist licence, with tons of atmosphere, huge private pool and space for 3 cars! Limestone walls to help keep cool. Very close to airport and a short drive to beaches. Pretty deceivingly accommodating Spanish Casa  set amidst fruit trees away from tourist areas but close to amenities (best with a car) and local restaurants and bars. 4 night minimum stay. Children welcomed. Planes can be heard. FOUR NIGHT MINIMUM STAY Our lovely atmospheric farmhouse is close to the amenities of San Climent and Mahon but in semi rural area and can sleep 6+.  TV/DVD= some satellite channels.  Cool limestone walls and wooden beams throughout. Sunstantial kitchen with large pine dining table that seats the family with all mod cons but still in keeping with the atmosphere of the house. Abundance of calming lavender in gardens. Great for couples or families alike. 3 bathrooms. 5 bedrooms spaced throughout house downstairs",36701336,Mah�n,,Entire home/apt,7,3.0,5.0,6.0,"TV,Cable TV,Pool,Kitchen,Free parking on premises,Pets allowed,Heating,Family/kid friendly,Washer,First aid kit,Safety card,Fire extinguisher,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,High chair,Pack �n Play/travel crib,Hot water,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,BBQ grill,Patio or balcony,Garden or backyard,Luggage dropoff allowed,Other",2040.0,4,28,VERDADERO,0,0,22,290,1,2017-07-09,2017-07-09,1000.0,100.0,100.0,,100.0,,,FALSO,6.0,spain,menorca,2018-10-25
7113910,Cozy room with private balcony,"Comfortable room for two people with private balcony to enjoy yourself or with someone else. The flat is closed to the city center, but with the commodities of a typical neighborhood in Barcelona. Excellently located, metro/bus/airbus nearby. The room has two individual beds. You will have access to the living room, the kitchen, and the bathroom, besides the bedroom and the balcony, which you can enjoy privately. We are very friendly young people, and we will have no problem at all to solve any doubts you may have and even give you advice or help you out with whatever we can. The neighborhood is great, it is located in the center of Barcelona, but with better streets and buildings that in the old city. Close to the flat you can find supermarkets, cinemas, restaurants, bars, monuments and night clubs. You can perfectly walk to the old city and the center. But if you need the metro, there is the stop Universitat 3 minutes away from the flat, and the Passeig de gracia stop 10 minutes",37210379,l'Antiga Esquerra de l'Eixample,Eixample,Private room,2,1.0,1.0,2.0,"Wireless Internet,Kitchen,Buzzer/wireless intercom,Washer,First aid kit,Essentials,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",400.0,1,1125,VERDADERO,0,0,0,0,1,2015-07-10,2015-07-10,800.0,,,,100.0,80.0,100.0,FALSO,4.0,spain,barcelona,2017-10-07
