original_city,original_neighbourhood,standardized_city,standardized_neighbourhood,autonomous_community
malaga,Centro,Málaga,Centro,Andalucía
madrid,C�rmenes,Madrid,Los Cármenes,Comunidad de Madrid
sevilla,San Vicente,Sevilla,San Vicente,Andalucía
barcelona,"l'Antiga Esquerra de l'Eixample",Barcelona,"L'Antiga Esquerra de l'Eixample",Cataluña
girona,Quart,Girona,Quart,Cataluña
girona,Torroella de Fluvi�,Girona,Torroella de Fluvià,Cataluña
barcelona,"el Camp de l'Arpa del Clot",Barcelona,"El Camp de l'Arpa del Clot",Cataluña
barcelona,"la Dreta de l'Eixample",Barcelona,"La Dreta de l'Eixample",Cataluña
madrid,Embajadores,Madrid,Embajadores,Comunidad de Madrid
barcelona,"el Camp d'en Grassot i Gr�cia Nova",Barcelona,"El Camp d'en Grassot i Gràcia Nova",Cataluña
barcelona,"el Raval",Barcelona,"El Raval",Cataluña
barcelona,"el Fort Pienc",Barcelona,"El Fort Pienc",Cataluña
madrid,Palacio,Madrid,Palacio,Comunidad de Madrid
madrid,"Palomeras Bajas",Madrid,"Palomeras Bajas",Comunidad de Madrid
girona,"Lloret de Mar",Girona,"Lloret de Mar",Cataluña
valencia,"EL PILAR",Valencia,"El Pilar",Comunidad Valenciana
barcelona,"Vallvidrera, el Tibidabo i les Planes",Barcelona,"Vallvidrera, el Tibidabo i les Planes",Cataluña
barcelona,Sants,Barcelona,Sants,Cataluña
barcelona,"Sant Antoni",Barcelona,"Sant Antoni",Cataluña
girona,Forallac,Girona,Forallac,Cataluña
barcelona,"les Corts",Barcelona,"Les Corts",Cataluña
mallorca,"Palma de Mallorca",Palma,"Palma de Mallorca",Islas Baleares
madrid,Universidad,Madrid,Universidad,Comunidad de Madrid
mallorca,Alc�dia,Palma,Alcúdia,Islas Baleares
madrid,Justicia,Madrid,Justicia,Comunidad de Madrid
barcelona,Horta,Barcelona,Horta,Cataluña
barcelona,"Sant Pere, Santa Caterina i la Ribera",Barcelona,"Sant Pere, Santa Caterina i la Ribera",Cataluña
barcelona,"el Poble Sec",Barcelona,"El Poble Sec",Cataluña
valencia,"EN CORTS",Valencia,"En Corts",Comunidad Valenciana
girona,Capmany,Girona,Capmany,Cataluña
madrid,Aluche,Madrid,Aluche,Comunidad de Madrid
girona,"Castell� d'Emp�ries",Girona,"Castelló d'Empúries",Cataluña
barcelona,"Can Peguera",Barcelona,"Can Peguera",Cataluña
madrid,Cortes,Madrid,Cortes,Comunidad de Madrid
madrid,"Ciudad Jard�n",Madrid,"Ciudad Jardín",Comunidad de Madrid
barcelona,"la Vila de Gr�cia",Barcelona,"La Vila de Gràcia",Cataluña
barcelona,"la Nova Esquerra de l'Eixample",Barcelona,"La Nova Esquerra de l'Eixample",Cataluña
madrid,"Ni�o Jes�s",Madrid,"Niño Jesús",Comunidad de Madrid
madrid,Sol,Madrid,Sol,Comunidad de Madrid
valencia,RUSSAFA,Valencia,Russafa,Comunidad Valenciana
barcelona,"Vilapicina i la Torre Llobeta",Barcelona,"Vilapicina i la Torre Llobeta",Cataluña
sevilla,Arenal,Sevilla,Arenal,Andalucía
girona,Begur,Girona,Begur,Cataluña
mallorca,Selva,Palma,Selva,Islas Baleares
sevilla,Alfalfa,Sevilla,Alfalfa,Andalucía
barcelona,"la Sagrada Fam�lia",Barcelona,"La Sagrada Família",Cataluña
mallorca,"Santa Margalida",Palma,"Santa Margalida",Islas Baleares
valencia,"EL CARME",Valencia,"El Carme",Comunidad Valenciana
girona,"Tossa de Mar",Girona,"Tossa de Mar",Cataluña
barcelona,"el Putxet i el Farr�",Barcelona,"El Putxet i el Farró",Cataluña
barcelona,"el Barri G�tic",Barcelona,"El Barri Gòtic",Cataluña
menorca,"Es Mercadal",Menorca,"Es Mercadal",Islas Baleares
barcelona,"el Poblenou",Barcelona,"El Poblenou",Cataluña
mallorca,Campos,Palma,Campos,Islas Baleares
mallorca,S�ller,Palma,Sóller,Islas Baleares
menorca,"Ciutadella de Menorca",Menorca,Ciutadella,Islas Baleares
mallorca,Valldemossa,Palma,Valldemossa,Islas Baleares
barcelona,"la Font de la Guatlla",Barcelona,"La Font de la Guatlla",Cataluña
sevilla,"Los Remedios",Sevilla,"Los Remedios",Andalucía
mallorca,Santany�,Palma,Santanyí,Islas Baleares
barcelona,"la Vila Ol�mpica del Poblenou",Barcelona,"La Vila Olímpica del Poblenou",Cataluña
barcelona,"el Coll",Barcelona,"El Coll",Cataluña
madrid,"San Ferm�n",Madrid,"San Fermín",Comunidad de Madrid
madrid,Comillas,Madrid,Comillas,Comunidad de Madrid
madrid,Prosperidad,Madrid,Prosperidad,Comunidad de Madrid
madrid,Acacias,Madrid,Acacias,Comunidad de Madrid
mallorca,Llub�,Palma,Llubí,Islas Baleares
girona,Roses,Girona,Roses,Cataluña
valencia,"LA SEU",Valencia,"La Seu",Comunidad Valenciana
barcelona,"el Parc i la Llacuna del Poblenou",Barcelona,"El Parc i la Llacuna del Poblenou",Cataluña
madrid,"Cuatro Caminos",Madrid,"Cuatro Caminos",Comunidad de Madrid
sevilla,"San Juli�n",Sevilla,"San Julián",Andalucía
girona,Palafrugell,Girona,Palafrugell,Cataluña
barcelona,"la Prosperitat",Barcelona,"La Prosperitat",Cataluña
barcelona,"el Clot",Barcelona,"El Clot",Cataluña
barcelona,"les Tres Torres",Barcelona,"Les Tres Torres",Cataluña
madrid,"Pinar del Rey",Madrid,"Pinar del Rey",Comunidad de Madrid
barcelona,"Vallcarca i els Penitents",Barcelona,"Vallcarca i els Penitents",Cataluña
madrid,"Los Angeles",Madrid,"Los Ángeles",Comunidad de Madrid
sevilla,"San Bartolom�",Sevilla,"San Bartolomé",Andalucía
mallorca,Inca,Palma,Inca,Islas Baleares
sevilla,"Tabladilla, La Estrella",Sevilla,"Tabladilla, La Estrella",Andalucía
menorca,Alaior,Menorca,Alaior,Islas Baleares
mallorca,Calvi�,Palma,Calvià,Islas Baleares
malaga,"Cruz De Humilladero",Málaga,"Cruz de Humilladero",Andalucía
malaga,Este,Málaga,Este,Andalucía
mallorca,Costitx,Palma,Costitx,Islas Baleares
sevilla,"an Roque",Sevilla,"San Roque",Andalucía
sevilla,"Santa Cruz",Sevilla,"Santa Cruz",Andalucía
girona,"Sant Climent Sescebes",Girona,"Sant Climent Sescebes",Cataluña
valencia,ARRANCAPINS,Valencia,Arrancapins,Comunidad Valenciana
madrid,Portazgo,Madrid,Portazgo,Comunidad de Madrid
madrid,"Palos de Moguer",Madrid,"Palos de Moguer",Comunidad de Madrid
mallorca,Pollen�a,Palma,Pollença,Islas Baleares
madrid,Recoletos,Madrid,Recoletos,Comunidad de Madrid
madrid,Castilla,Madrid,Castilla,Comunidad de Madrid
