Comunidades y Ciudades Autónomas,Provincias,Count
01 Andalucía,04 Almería,1884
01 Andalucía,11 Cádiz,1884
01 Andalucía,14 Córdoba,1884
01 Andalucía,18 Granada,1884
01 Andalucía,21 Huelva,1884
01 Andalucía,23 Jaén,1884
01 Andalucía,29 Málaga,1884
01 Andalucía,41 Sevilla,1884
02 Aragón,22 Huesca,1884
02 Aragón,44 Teruel,1884
02 Aragón,50 Zaragoza,1884
"03 Asturias, Principado de",33 Asturias,1884
"04 Balears, Illes","07 Balears, Illes",1884
05 Canarias,"35 Palmas, Las",1884
05 Canarias,38 Santa Cruz de Tenerife,1884
06 Cantabria,39 Cantabria,1884
07 Castilla y León,05 Ávila,1884
07 Castilla y León,09 Burgos,1884
07 Castilla y León,24 León,1884
07 Castilla y León,34 Palencia,1884
07 Castilla y León,37 Salamanca,1884
07 Castilla y León,40 Segovia,1884
07 Castilla y León,42 Soria,1884
07 Castilla y León,47 Valladolid,1884
07 Castilla y León,49 Zamora,1884
08 Castilla - La Mancha,02 Albacete,1884
08 Castilla - La Mancha,13 Ciudad Real,1884
08 Castilla - La Mancha,16 Cuenca,1884
08 Castilla - La Mancha,19 Guadalajara,1884
08 Castilla - La Mancha,45 Toledo,1884
09 Cataluña,08 Barcelona,1884
09 Cataluña,17 Girona,1884
09 Cataluña,25 Lleida,1884
09 Cataluña,43 Tarragona,1884
10 Comunitat Valenciana,03 Alicante/Alacant,1884
10 Comunitat Valenciana,12 Castellón/Castelló,1884
10 Comunitat Valenciana,46 Valencia/València,1884
11 Extremadura,06 Badajoz,1884
11 Extremadura,10 Cáceres,1884
12 Galicia,"15 Coruña, A",1884
12 Galicia,27 Lugo,1884
12 Galicia,32 Ourense,1884
12 Galicia,36 Pontevedra,1884
"13 Madrid, Comunidad de",28 Madrid,1884
"14 Murcia, Región de",30 Murcia,1884
"15 Navarra, Comunidad Foral de",31 Navarra,1884
16 País Vasco,01 Araba/Álava,1884
16 País Vasco,20 Gipuzkoa,1884
16 País Vasco,48 Bizkaia,1884
"17 Rioja, La","26 Rioja, La",1884
